Age,Months as a Customer,Number of Products,RFM Score,Average Balance Feed Index,Number of Transactions,Personal Debt to Equity Ratio,Months Current Account,Number of Loan Accounts,Customer ID,Members Within Household,Number of Call Center Contacts,Gender,Marital Status,Age Youngest Child,Number of Workers in Household,Percentage White Collar Workers,Household Debt to Equity Ratio,Income,Campaign ID,Response
39,24.000000,0,0.000000,0,0,39,14,0,138493,4,9,"M","S",12,13,21,64,38433.000000,2,0
45,24.000000,0,0.000000,0,0,45,21,0,139235,4,9,"M","S",12,13,21,64,38433.000000,3,0
37,48.000000,3,10.066333,333,2,37,37,0,133332,4,9,"M","S",12,13,21,64,38433.000000,3,0
40,24.000000,0,0.000000,0,0,40,12,0,128862,1,10,"M","S",12,13,21,64,38433.000000,2,0
41,48.000000,2,11.802333,69,1,41,41,0,134391,4,9,"M","S",12,13,21,64,38433.000000,3,0
41,48.000000,2,11.802333,69,1,41,41,0,134391,4,9,"M","S",12,13,21,64,38433.000000,1,0
41,0.000000,0,0.000000,0,0,41,-1,0,137472,4,9,"M","S",12,13,21,64,38433.000000,2,0
41,0.000000,0,0.000000,0,0,41,-1,0,137472,4,9,"M","S",12,13,21,64,38433.000000,3,0
40,12.000000,0,0.000000,0,0,40,8,0,128897,1,10,"M","S",12,13,21,64,38433.000000,3,0
41,0.000000,0,0.000000,0,0,41,-1,0,128457,2,9,"M","S",12,13,21,64,38433.000000,2,0
43,12.000000,0,0.000000,0,0,43,5,0,128943,1,10,"M","S",12,13,21,64,38433.000000,2,0
42,48.000000,3,11.878990,279,2,42,41,0,132904,4,9,"M","S",12,13,21,64,38433.000000,4,0
42,48.000000,3,11.878990,279,2,42,41,0,132904,4,9,"M","S",12,13,21,64,38433.000000,2,0
43,36.000000,2,10.827333,94,1,43,23,0,118172,3,11,"M","S",12,13,21,64,38433.000000,3,0
38,24.000000,0,0.000000,0,0,38,14,0,126653,5,7,"M","S",12,13,21,64,38433.000000,2,0
41,24.000000,0,0.000000,0,0,41,16,0,128522,2,9,"M","S",12,13,21,64,38433.000000,2,0
41,24.000000,15,12.111637,245,5,41,14,0,121826,6,8,"M","S",12,13,21,64,38433.000000,3,0
42,48.000000,0,0.000000,0,0,42,38,0,110784,4,8,"M","S",12,13,21,64,38433.000000,3,0
42,48.000000,0,0.000000,0,0,42,38,0,110784,4,8,"M","S",12,13,21,64,38433.000000,2,0
40,24.000000,2,8.429000,129,1,40,22,0,124373,6,0,"M","S",12,13,21,64,38433.000000,4,0
43,48.000000,1,7.389000,89,1,43,40,0,124955,4,6,"M","S",12,13,21,64,38433.000000,1,0
41,36.000000,14,21.013870,214,14,41,31,0,120253,1,11,"M","S",12,13,21,64,38433.000000,2,1
41,48.000000,4,10.752333,119,1,41,37,0,106436,1,11,"M","S",12,13,21,64,38433.000000,2,0
38,0.000000,0,0.000000,0,0,38,-3,0,120214,2,11,"M","S",12,13,21,64,38433.000000,2,0
38,0.000000,0,0.000000,0,0,38,-3,0,120214,2,11,"M","S",12,13,21,64,38433.000000,3,0
31,36.000000,0,0.000000,0,0,31,28,0,1354,5,10,"F","U",2,11,23,65,59932.000000,2,0
31,12.000000,0,0.000000,0,0,31,8,0,3170,5,11,"F","U",2,11,23,65,59932.000000,2,0
31,12.000000,0,0.000000,0,0,31,8,0,3170,5,11,"F","U",2,11,23,65,59932.000000,3,0
33,36.000000,5,11.471980,272,3,33,30,0,3208,1,10,"F","U",2,11,23,65,59932.000000,2,0
33,36.000000,5,11.471980,272,3,33,30,0,3208,1,10,"F","U",2,11,23,65,59932.000000,3,0
36,24.000000,0,0.000000,0,0,36,22,0,5528,1,10,"F","U",2,11,23,65,59932.000000,2,0
31,0.000000,1,0.000000,0,0,31,-3,0,135219,4,9,"F","U",2,11,23,65,59932.000000,2,0
34,0.000000,0,0.000000,0,0,34,-4,0,137345,4,9,"F","U",2,11,23,65,59932.000000,3,0
27,36.000000,2,9.519000,119,1,27,26,0,137879,4,9,"F","U",2,11,23,65,59932.000000,2,1
31,24.000000,1,10.295667,129,1,31,12,0,129699,1,10,"F","U",2,11,23,65,59932.000000,4,0
29,48.000000,0,0.000000,0,0,29,40,0,118827,1,9,"F","U",2,11,23,65,59932.000000,2,0
26,24.000000,2,9.331333,1098,2,26,12,0,131217,4,9,"F","U",2,11,23,65,59932.000000,4,0
26,24.000000,2,9.331333,1098,2,26,12,0,131217,4,9,"F","U",2,11,23,65,59932.000000,3,0
32,24.000000,27,9.673667,507,3,32,11,0,110686,5,8,"F","U",2,11,23,65,59932.000000,4,1
32,24.000000,27,9.673667,507,3,32,11,0,110686,5,8,"F","U",2,11,23,65,59932.000000,3,0
34,0.000000,0,0.000000,0,0,34,-5,0,124763,1,8,"F","U",2,11,23,65,59932.000000,2,0
32,36.000000,0,0.000000,0,0,32,26,0,128463,2,9,"F","U",2,11,23,65,59932.000000,2,0
29,24.000000,0,0.000000,0,0,29,16,0,110032,4,11,"F","U",2,11,23,65,59932.000000,2,0
32,36.000000,0,0.000000,0,0,32,34,0,106378,1,9,"F","U",2,11,23,65,59932.000000,2,0
32,36.000000,0,0.000000,0,0,32,34,0,106378,1,9,"F","U",2,11,23,65,59932.000000,3,0
29,12.000000,0,0.000000,0,0,29,0,0,106115,3,0,"F","U",2,11,23,65,59932.000000,3,0
29,12.000000,0,0.000000,0,0,29,0,0,106115,3,0,"F","U",2,11,23,65,59932.000000,2,0
35,12.000000,2,11.825667,59,1,35,9,0,106199,4,9,"F","U",2,11,23,65,59932.000000,3,0
30,36.000000,0,0.000000,0,0,30,30,0,111023,3,6,"F","U",2,11,23,65,59932.000000,2,0
28,36.000000,3,11.425657,159,2,28,29,0,116403,5,10,"F","U",2,11,23,65,59932.000000,1,0
31,36.000000,3,9.085667,119,1,31,29,0,105709,1,8,"F","U",2,11,23,65,59932.000000,2,0
31,36.000000,3,9.085667,119,1,31,29,0,105709,1,8,"F","U",2,11,23,65,59932.000000,4,0
29,24.000000,0,0.000000,0,0,29,16,0,110032,4,11,"F","U",2,11,23,65,59932.000000,3,0
31,36.000000,0,0.000000,0,0,31,30,0,102572,4,8,"F","U",2,11,23,65,59932.000000,3,0
30,36.000000,24,30.701447,435,24,30,30,0,103595,4,11,"F","U",2,11,23,65,59932.000000,2,1
32,0.000000,0,0.000000,0,0,32,-3,0,111786,3,9,"F","U",2,11,23,65,59932.000000,2,0
39,24.000000,0,0.000000,0,0,39,16,0,108850,4,9,"F","U",2,11,23,65,59932.000000,3,0
34,36.000000,15,13.767920,268,7,34,28,0,88759,3,10,"F","U",2,11,23,65,59932.000000,2,1
33,48.000000,5,10.552323,219,2,33,40,0,85197,1,9,"F","U",2,11,23,65,59932.000000,4,0
40,48.000000,0,0.000000,0,0,40,38,1,41251,1,0,"M","S",15,4,34,60,45081.000000,2,0
43,36.000000,5,11.199970,100,3,43,29,1,60068,4,10,"M","S",15,4,34,60,45081.000000,1,0
42,36.000000,2,9.099000,199,1,42,31,1,24284,5,9,"M","S",15,4,34,60,45081.000000,3,0
46,12.000000,0,0.000000,0,0,46,7,1,14084,3,10,"M","S",15,4,34,60,45081.000000,2,0
45,48.000000,1,9.059000,559,1,45,40,1,12825,3,10,"M","S",15,4,34,60,45081.000000,4,0
46,48.000000,5,11.989313,256,3,46,40,1,28166,1,10,"M","S",15,4,34,60,45081.000000,4,0
43,24.000000,2,7.385667,219,1,43,12,1,39482,3,8,"M","S",15,4,34,60,45081.000000,1,0
41,48.000000,3,9.932313,99,3,41,39,0,1762,5,8,"F","U",14,8,33,57,38068.000000,2,0
40,0.000000,0,0.000000,0,0,40,-6,0,9663,6,9,"F","U",14,8,33,57,38068.000000,2,0
42,24.000000,0,0.000000,0,0,42,11,0,9910,3,9,"F","U",14,8,33,57,38068.000000,2,0
42,24.000000,0,0.000000,0,0,42,11,0,9910,3,9,"F","U",14,8,33,57,38068.000000,3,0
42,24.000000,0,0.000000,0,0,42,21,0,12490,3,9,"F","U",14,8,33,57,38068.000000,3,0
44,48.000000,2,11.069990,70,1,44,39,0,138441,4,9,"F","U",14,8,33,57,38068.000000,2,0
44,48.000000,2,11.069990,70,1,44,39,0,138441,4,9,"F","U",14,8,33,57,38068.000000,3,0
39,24.000000,6,11.464647,98,3,39,21,0,140020,4,9,"F","U",14,8,33,57,38068.000000,1,0
44,48.000000,0,0.000000,0,0,44,38,0,139707,4,9,"F","U",14,8,33,57,38068.000000,3,0
44,48.000000,0,0.000000,0,0,44,38,0,139707,4,9,"F","U",14,8,33,57,38068.000000,2,0
44,24.000000,2,11.159000,159,1,44,12,0,128785,1,10,"F","U",14,8,33,57,38068.000000,3,0
42,24.000000,4,8.785667,219,1,42,15,0,133381,4,9,"F","U",14,8,33,57,38068.000000,2,0
40,36.000000,0,0.000000,0,0,40,23,0,120173,4,9,"F","U",14,8,33,57,38068.000000,2,0
43,24.000000,3,8.109990,10,1,43,15,0,122008,2,10,"F","U",14,8,33,57,38068.000000,2,0
42,24.000000,0,0.000000,0,0,42,14,0,128826,1,10,"F","U",14,8,33,57,38068.000000,2,0
43,36.000000,2,7.395667,129,1,43,29,0,129192,1,10,"F","U",14,8,33,57,38068.000000,4,0
44,24.000000,2,11.159000,159,1,44,12,0,128785,1,10,"F","U",14,8,33,57,38068.000000,2,0
38,0.000000,0,0.000000,0,0,38,-4,0,103956,4,10,"F","U",14,8,33,57,38068.000000,2,0
42,36.000000,2,7.336657,170,1,42,23,0,113162,6,6,"F","U",14,8,33,57,38068.000000,2,0
46,24.000000,4,9.468990,269,2,46,12,0,116804,6,8,"F","U",14,8,33,57,38068.000000,4,0
46,24.000000,4,9.468990,269,2,46,12,0,116804,6,8,"F","U",14,8,33,57,38068.000000,3,0
44,0.000000,0,0.000000,0,0,44,-4,0,105346,4,7,"F","U",14,8,33,57,38068.000000,2,0
41,36.000000,0,0.000000,0,0,41,29,0,90634,2,11,"F","U",14,8,33,57,38068.000000,2,0
45,36.000000,0,0.000000,0,0,45,29,0,88866,2,7,"F","U",14,8,33,57,38068.000000,2,0
43,24.000000,14,19.561047,395,13,43,12,0,97293,4,10,"F","U",14,8,33,57,38068.000000,1,0
42,24.000000,2,12.479000,79,1,42,13,0,100008,2,11,"F","U",14,8,33,57,38068.000000,2,0
43,24.000000,0,0.000000,0,0,43,20,0,98928,3,11,"F","U",14,8,33,57,38068.000000,2,0
41,24.000000,5,10.263980,64,3,41,15,0,111128,3,0,"F","U",14,8,33,57,38068.000000,2,0
46,48.000000,4,9.519980,120,2,46,40,0,79454,6,10,"F","U",14,8,33,57,38068.000000,3,0
38,48.000000,4,8.764667,298,2,38,40,0,124467,5,8,"M","S",8,9,22,67,36405.000000,1,0
35,24.000000,0,0.000000,0,0,35,11,0,108093,5,8,"M","S",8,9,22,67,36405.000000,3,0
35,24.000000,0,0.000000,0,0,35,11,0,108093,5,8,"M","S",8,9,22,67,36405.000000,2,0
37,12.000000,16,15.052597,486,8,37,10,0,108194,4,8,"M","S",8,9,22,67,36405.000000,2,0
39,24.000000,17,19.265568,699,12,39,19,0,111156,3,11,"M","S",8,9,22,67,36405.000000,2,0
40,36.000000,4,11.751333,118,2,40,29,0,108557,4,9,"M","S",8,9,22,67,36405.000000,2,0
36,36.000000,1,9.275667,109,1,36,25,0,105656,4,10,"M","S",8,9,22,67,36405.000000,2,0
43,24.000000,3,9.622323,189,2,43,22,0,98031,1,11,"M","S",8,9,22,67,36405.000000,1,0
39,48.000000,0,0.000000,0,0,39,35,0,97282,2,10,"M","S",8,9,22,67,36405.000000,3,0
38,0.000000,2,0.000000,0,0,38,-2,0,99170,5,9,"M","S",8,9,22,67,36405.000000,2,0
38,0.000000,2,0.000000,0,0,38,-2,0,99170,5,9,"M","S",8,9,22,67,36405.000000,3,0
39,0.000000,0,0.000000,0,0,39,-2,0,92751,3,10,"M","S",8,9,22,67,36405.000000,2,0
37,0.000000,0,0.000000,0,0,37,-6,0,96275,3,8,"M","S",8,9,22,67,36405.000000,2,0
36,36.000000,4,7.972333,139,1,36,31,0,92842,4,0,"M","S",8,9,22,67,36405.000000,3,0
36,36.000000,4,7.972333,139,1,36,31,0,92842,4,0,"M","S",8,9,22,67,36405.000000,2,0
37,24.000000,0,0.000000,0,0,37,16,0,93444,4,10,"M","S",8,9,22,67,36405.000000,3,0
37,24.000000,0,0.000000,0,0,37,16,0,93444,4,10,"M","S",8,9,22,67,36405.000000,2,0
38,48.000000,0,0.000000,0,0,38,38,0,97579,3,0,"M","S",8,9,22,67,36405.000000,2,0
36,24.000000,0,0.000000,0,0,36,16,0,84440,3,10,"M","S",8,9,22,67,36405.000000,2,0
36,24.000000,0,0.000000,0,0,36,16,0,84440,3,10,"M","S",8,9,22,67,36405.000000,3,0
34,24.000000,2,7.668283,35,1,34,14,0,91310,4,0,"M","S",8,9,22,67,36405.000000,2,0
37,12.000000,2,8.557657,91,2,37,9,0,94678,1,10,"M","S",8,9,22,67,36405.000000,2,0
37,0.000000,0,0.000000,0,0,37,-6,0,96275,3,8,"M","S",8,9,22,67,36405.000000,3,0
35,24.000000,3,9.285657,119,2,35,17,0,80727,2,10,"M","S",8,9,22,67,36405.000000,2,0
40,0.000000,0,0.000000,0,0,40,-1,0,85022,1,11,"M","S",8,9,22,67,36405.000000,2,0
37,24.000000,0,0.000000,0,0,37,14,0,84491,6,9,"M","S",8,9,22,67,36405.000000,3,0
37,24.000000,0,0.000000,0,0,37,14,0,84491,6,9,"M","S",8,9,22,67,36405.000000,2,0
39,48.000000,4,9.756323,123,3,39,40,0,90957,1,7,"M","S",8,9,22,67,36405.000000,1,0
37,24.000000,0,0.000000,0,0,37,11,0,83415,3,8,"M","S",8,9,22,67,36405.000000,2,0
38,48.000000,3,11.462990,163,3,38,36,0,87531,2,0,"M","S",8,9,22,67,36405.000000,2,0
40,36.000000,2,12.293323,60,1,40,32,0,83671,3,11,"M","S",8,9,22,67,36405.000000,2,0
40,36.000000,2,12.293323,60,1,40,32,0,83671,3,11,"M","S",8,9,22,67,36405.000000,3,0
40,24.000000,0,0.000000,0,0,40,11,0,88076,1,0,"M","S",8,9,22,67,36405.000000,3,0
40,24.000000,0,0.000000,0,0,40,11,0,88076,1,0,"M","S",8,9,22,67,36405.000000,2,0
37,24.000000,4,9.517000,317,3,37,22,0,88346,3,9,"M","S",8,9,22,67,36405.000000,4,0
40,12.000000,0,0.000000,0,0,40,10,0,72474,3,10,"M","S",8,9,22,67,36405.000000,3,0
42,36.000000,5,9.724970,25,3,42,24,0,87036,2,9,"M","S",8,9,22,67,36405.000000,3,0
35,0.000000,0,0.000000,0,0,35,-4,0,89860,1,11,"M","S",8,9,22,67,36405.000000,2,0
34,24.000000,2,12.115657,149,2,34,15,0,82812,4,11,"M","S",8,9,22,67,36405.000000,2,0
40,0.000000,1,0.000000,0,0,40,-6,0,72559,6,1,"F","U",14,8,33,57,38068.000000,2,0
41,36.000000,0,0.000000,0,0,41,29,0,90634,2,11,"F","U",14,8,33,57,38068.000000,3,0
44,24.000000,0,0.000000,0,0,44,19,0,71193,1,11,"F","U",14,8,33,57,38068.000000,2,0
45,36.000000,0,0.000000,0,0,45,29,0,71538,3,8,"F","U",14,8,33,57,38068.000000,2,0
47,24.000000,2,7.593323,60,1,47,12,0,77556,2,10,"F","U",14,8,33,57,38068.000000,4,0
44,36.000000,2,8.325667,159,1,44,34,0,78426,1,10,"F","U",14,8,33,57,38068.000000,3,0
44,36.000000,2,8.325667,159,1,44,34,0,78426,1,10,"F","U",14,8,33,57,38068.000000,2,0
43,48.000000,4,7.359000,59,1,43,39,0,59010,2,11,"F","U",14,8,33,57,38068.000000,3,0
43,48.000000,4,7.359000,59,1,43,39,0,59010,2,11,"F","U",14,8,33,57,38068.000000,2,0
39,48.000000,0,0.000000,0,0,39,37,0,63190,4,9,"F","U",14,8,33,57,38068.000000,2,0
45,24.000000,0,0.000000,0,0,45,17,0,70875,4,11,"F","U",14,8,33,57,38068.000000,2,0
45,24.000000,0,0.000000,0,0,45,17,0,70875,4,11,"F","U",14,8,33,57,38068.000000,3,0
41,24.000000,2,9.119000,119,1,41,22,0,42583,2,9,"F","U",14,8,33,57,38068.000000,4,0
43,24.000000,1,11.319000,119,1,43,11,0,56306,2,8,"F","U",14,8,33,57,38068.000000,3,0
43,24.000000,0,0.000000,0,0,43,14,0,54709,6,8,"F","U",14,8,33,57,38068.000000,2,0
42,36.000000,0,0.000000,0,0,42,33,0,62114,3,10,"F","U",14,8,33,57,38068.000000,2,0
43,0.000000,0,0.000000,0,0,43,-3,0,51931,3,8,"F","U",14,8,33,57,38068.000000,2,0
42,24.000000,0,0.000000,0,0,42,16,0,59873,2,7,"F","U",14,8,33,57,38068.000000,2,0
45,36.000000,2,8.115667,849,1,45,33,0,56229,5,10,"F","U",14,8,33,57,38068.000000,2,0
44,24.000000,0,0.000000,0,0,44,12,0,56311,5,11,"F","U",14,8,33,57,38068.000000,2,0
45,36.000000,2,7.535667,269,1,45,29,0,62328,5,10,"F","U",14,8,33,57,38068.000000,3,0
41,12.000000,3,7.832333,99,1,41,6,0,34008,5,10,"F","U",14,8,33,57,38068.000000,2,0
44,12.000000,0,0.000000,0,0,44,6,0,45395,4,10,"F","U",14,8,33,57,38068.000000,2,0
44,12.000000,0,0.000000,0,0,44,6,0,45395,4,10,"F","U",14,8,33,57,38068.000000,3,0
44,36.000000,4,11.056990,257,3,44,30,0,46512,5,9,"F","U",14,8,33,57,38068.000000,3,0
44,36.000000,4,11.056990,257,3,44,30,0,46512,5,9,"F","U",14,8,33,57,38068.000000,2,0
45,24.000000,0,0.000000,0,0,45,18,0,35221,5,0,"F","U",14,8,33,57,38068.000000,2,0
48,48.000000,5,8.724667,158,2,48,39,0,36511,3,10,"F","U",14,8,33,57,38068.000000,1,0
46,36.000000,0,0.000000,0,0,46,24,0,38894,6,10,"F","U",14,8,33,57,38068.000000,2,0
48,48.000000,3,10.720647,354,3,48,41,0,27523,1,8,"F","U",14,8,33,57,38068.000000,4,0
42,48.000000,3,8.249990,150,1,42,39,0,28332,1,7,"F","U",14,8,33,57,38068.000000,1,0
42,48.000000,3,8.249990,150,1,42,39,0,28332,1,7,"F","U",14,8,33,57,38068.000000,2,0
32,48.000000,2,12.872333,139,1,32,36,0,80362,6,9,"M","S",8,9,22,67,36405.000000,2,0
38,36.000000,4,9.188990,89,2,38,35,0,81361,3,8,"M","S",8,9,22,67,36405.000000,3,0
