Equipment.Id,Equipment.Type,Month.of.Manufacture,Last Service Date,Next Service Date,Last Repair Date,Units Produced Per day,Unit Cost of Production,Engineer Assigned
"CNC_054","CNC Machine",200912.000000,2013-02-14,2013-05-26,2013-03-06,1385.000000,5.000000,"F"
"CNC_055","CNC Machine",200712.000000,2013-04-28,2013-06-16,2013-05-15,719.000000,7.000000,"F"
"CNC_056","CNC Machine",200712.000000,2013-02-18,2013-06-09,2013-02-26,2699.000000,2.000000,"F"
"CNC_057","CNC Machine",200712.000000,2013-05-09,2013-06-23,2013-04-15,2881.000000,2.000000,"T"
"CNC_058","CNC Machine",200712.000000,2013-02-27,2013-06-13,2013-05-14,1238.000000,6.000000,"F"
"CNC_059","CNC Machine",200712.000000,2013-02-15,2013-05-31,2013-04-29,1325.000000,3.000000,"F"
"CNC_060","CNC Machine",200712.000000,2013-04-22,2013-06-06,2013-03-14,484.000000,8.000000,"F"
"CNC_061","CNC Machine",200712.000000,2013-05-13,2013-06-13,2013-04-06,1695.000000,2.000000,"T"
"CNC_062","CNC Machine",200712.000000,2013-05-12,2013-05-28,2013-04-14,2813.000000,2.000000,"T"
"CNC_063","CNC Machine",200906.000000,2013-05-08,2013-06-23,2013-05-09,1237.000000,4.000000,"F"
"CNC_064","CNC Machine",200712.000000,2013-04-25,2013-06-18,2013-04-09,1990.000000,4.000000,"F"
"CNC_065","CNC Machine",200704.000000,2013-04-07,2013-06-11,2013-04-20,1200.000000,5.000000,"F"
"CNC_066","CNC Machine",200903.000000,2013-04-30,2013-06-20,2013-03-10,2446.000000,3.000000,"F"
"CNC_067","CNC Machine",200712.000000,2013-03-21,2013-06-15,2013-05-10,1491.000000,5.000000,"F"
"CNC_068","CNC Machine",200807.000000,2013-04-17,2013-05-30,2013-03-15,299.000000,18.000000,"F"
"CNC_069","CNC Machine",200712.000000,2013-05-12,2013-06-12,2013-04-06,92.000000,25.000000,"T"
"CNC_070","CNC Machine",200903.000000,2013-03-09,2013-06-04,2013-02-21,785.000000,7.000000,"F"
"CNC_071","CNC Machine",200703.000000,2013-04-19,2013-06-03,2013-05-07,1747.000000,4.000000,"F"
"CNC_072","CNC Machine",200712.000000,2013-02-19,2013-06-09,2013-04-22,1053.000000,6.000000,"F"
"CNC_073","CNC Machine",200712.000000,2013-04-10,2013-06-04,2013-02-14,334.000000,20.000000,"F"
"CNC_074","CNC Machine",200906.000000,2013-04-11,2013-06-08,2013-04-09,2911.000000,1.000000,"F"
"CNC_075","CNC Machine",200801.000000,2013-03-19,2013-06-03,2013-04-20,898.000000,4.000000,"F"
"CNC_076","CNC Machine",200703.000000,2013-03-02,2013-06-13,2013-03-03,1005.000000,3.000000,"F"
"CNC_077","CNC Machine",200712.000000,2013-04-18,2013-06-14,2013-05-05,1848.000000,3.000000,"F"
"CNC_078","CNC Machine",200712.000000,2013-02-22,2013-05-31,2013-02-09,586.000000,9.000000,"F"
"CNC_079","CNC Machine",200712.000000,2013-05-04,2013-06-16,2013-04-13,417.000000,14.000000,"F"
"CNC_080","CNC Machine",200712.000000,2013-03-02,2013-06-01,2013-02-11,414.000000,9.000000,"F"
"CNC_081","CNC Machine",200808.000000,2013-05-03,2013-05-25,2013-02-24,1681.000000,4.000000,"F"
"CNC_082","CNC Machine",200712.000000,2013-02-03,2013-06-08,2013-03-22,2690.000000,2.000000,"F"
"CNC_083","CNC Machine",200806.000000,2013-05-03,2013-05-25,2013-02-14,1692.000000,4.000000,"F"
"CNC_084","CNC Machine",200712.000000,2013-04-30,2013-05-27,2013-05-12,1398.000000,2.000000,"F"
"CNC_085","CNC Machine",200706.000000,2013-03-18,2013-06-13,2013-02-28,1858.000000,4.000000,"F"
"CNC_086","CNC Machine",200807.000000,2013-05-05,2013-06-12,2013-03-11,1914.000000,2.000000,"F"
"CNC_087","CNC Machine",200810.000000,2013-04-05,2013-05-26,2013-04-24,1943.000000,4.000000,"F"
"CNC_088","CNC Machine",200807.000000,2013-02-11,2013-05-31,2013-05-03,83.000000,48.000000,"F"
"CNC_089","CNC Machine",200806.000000,2013-04-29,2013-06-22,2013-02-19,1135.000000,6.000000,"F"
"CNC_090","CNC Machine",200807.000000,2013-04-06,2013-06-12,2013-02-18,2185.000000,1.000000,"F"
"CNC_091","CNC Machine",200810.000000,2013-04-19,2013-06-05,2013-05-05,447.000000,14.000000,"F"
"CNC_092","CNC Machine",200805.000000,2013-03-20,2013-06-13,2013-03-20,1091.000000,2.000000,"F"
"CNC_093","CNC Machine",200705.000000,2013-02-24,2013-06-06,2013-04-20,830.000000,7.000000,"F"
"CNC_094","CNC Machine",200709.000000,2013-04-16,2013-05-25,2013-02-17,902.000000,2.000000,"F"
"CNC_095","CNC Machine",200906.000000,2013-05-02,2013-06-09,2013-03-05,55.000000,114.000000,"F"
"CNC_096","CNC Machine",200905.000000,2013-03-09,2013-06-14,2013-02-20,2159.000000,3.000000,"F"
"CNC_097","CNC Machine",200705.000000,2013-05-09,2013-05-25,2013-03-16,2276.000000,3.000000,"T"
"CNC_098","CNC Machine",200808.000000,2013-03-17,2013-06-09,2013-05-10,2710.000000,1.000000,"F"
"CNC_099","CNC Machine",200809.000000,2013-03-03,2013-06-03,2013-04-13,2814.000000,2.000000,"F"
"CNC_100","CNC Machine",201003.000000,2013-01-31,2013-05-29,2013-04-09,941.000000,4.000000,"F"
