claim_id,customer_id,age,gender,incident_cause,days_to_incident,claim_area,police_report,claim_type,claim_amount,total_policy_claims
43586115,68414646,46,Male,Other driver error,602,Auto,Yes,Material and injury,30940,4
97574618,21689548,54,Female,Crime,2660,Auto,Unknown,Material only,1640,1
66985984,04791672,41,Male,Natural causes,2507,Auto,No,Material only,2210,1
28691623,54748638,79,Male,Other causes,8810,Auto,Yes,Injury only,23390,1
24934984,07629204,38,Male,Crime,2105,Auto,No,Material only,1580,1
30003623,56894914,78,Male,Driver error,12524,Auto,Unknown,Injury only,14300,1
42961290,99900191,20,Male,Driver error,6,Auto,No,Material only,1400,1
14732846,47733950,32,Female,Driver error,1855,Home,No,Material only,2630,1
34749865,65415692,68,Male,Driver error,8776,Auto,Unknown,Material only,3162.5,1
58315572,48524495,46,Female,Other driver error,2738,Auto,Unknown,Injury only,15360,1
30030548,64476976,52,Female,Driver error,6681,Auto,Yes,Material only,2970,1
12810453,67219332,37,Male,Other driver error,1161,Auto,Unknown,Material only,2886.5,1
56330915,01137730,37,Female,Other causes,2459,Auto,Yes,Injury only,16830,1
82927612,45175773,27,Male,Other causes,290,Auto,Yes,Material and injury,44125.5,1
56423444,28589281,77,Female,Driver error,2203,Auto,Unknown,Material and injury,33680,1
68531571,41917021,24,Male,Driver error,443,Auto,Yes,Material and injury,18300,4
42199013,21948955,61,Male,Natural causes,1056,Auto,No,Material only,1410,1
24363870,68049900,59,Female,Crime,2568,Auto,No,Material only,2450,1
28227741,65851369,73,Female,Other causes,12622,Auto,No,Material only,1530,1
76237328,38240278,19,Female,Natural causes,6,Auto,No,Material only,1161.5,1
91829731,14104349,58,Female,Other causes,5902,Auto,No,Material only,1590,1
83247162,76408874,19,Male,Other causes,3,Auto,No,Material only,1930,1
96869705,40377375,64,Female,Other causes,782,Auto,Unknown,Material only,2870,1
93737306,15739763,42,Female,Other causes,309,Auto,No,Material only,2770,1
61506950,45662976,19,Male,Driver error,5,Auto,No,Material and injury,21890,1
92144070,04063386,56,Male,Other causes,2206,Auto,Unknown,Material and injury,24930,1
55287151,23121617,22,Female,Other driver error,594,Auto,No,Material and injury,19895,1
33469345,71044597,53,Male,Other causes,1432,Auto,Unknown,Material only,2220,3
52726494,71314961,47,Male,Other causes,6661,Auto,Unknown,Material and injury,16997,3
51224728,39741752,36,Male,Driver error,2494,Auto,Unknown,Material and injury,39620,1
20979480,87074504,36,Male,Driver error,1892,Auto,Unknown,Material only,1270,1
16728111,12310872,26,Female,Natural causes,1378,Auto,No,Material only,2250,1
13192611,33953274,26,Male,Driver error,1232,Auto,No,Material and injury,29190,1
75458309,24559894,24,Female,Natural causes,148,Auto,No,Material only,1850,1
68054035,21661469,43,Female,Crime,2550,Auto,Yes,Material and injury,17400,1
35760249,96305798,51,Female,Crime,1277,Auto,No,Material only,1460,2
11285823,01456247,50,Female,Other causes,845,Auto,Unknown,Injury only,21760,1
27476001,25290735,55,Female,Other causes,1734,Auto,No,Material only,1450,1
60820587,79445391,64,Female,Other causes,7399,Auto,Unknown,Injury only,36620,1
75406959,58808328,60,Male,Driver error,9200,Auto,Yes,Material only,1170,1
81293827,33695662,74,Female,Natural causes,7151,Home,No,Material only,2150,1
95032892,51774660,73,Male,Other causes,7681,Auto,No,Material only,1860,2
33128480,76476493,23,Female,Other causes,1163,Auto,No,Material only,2070,1
79850779,32317319,26,Female,Other driver error,206,Auto,No,Material and injury,39847.5,1
13890592,28522202,30,Female,Other driver error,161,Auto,Unknown,Material only,2940,1
07390390,96282151,53,Female,Driver error,2112,Auto,No,Material and injury,35937.5,4
60693347,20109606,72,Female,Natural causes,11027,Auto,Unknown,Injury only,35950,1
27810597,81604211,49,Male,Crime,3049,Auto,No,Material only,2610.5,1
70462450,29857753,58,Male,Other causes,1835,Home,No,Material only,2640,1
29543164,51417657,40,Male,Other causes,61,Auto,No,Injury only,29280,1
63920434,56435820,76,Female,Driver error,7798,Auto,No,Material only,2490,1
48183545,60214197,58,Male,Other causes,148,Auto,Unknown,Material only,2930,1
62940953,97805909,30,Male,Other causes,1262,Auto,No,Material only,1120,1
76469945,04614428,45,Male,Driver error,1962,Auto,Yes,Injury only,26560,1
13034676,20738646,33,Female,Other causes,1311,Auto,Unknown,Material and injury,30348.5,1
65779871,79850783,67,Male,Other driver error,8783,Auto,Unknown,Material only,1978,2
25420768,25311916,26,Male,Other causes,1818,Home,Unknown,Material only,1656,1
52336092,35145229,46,Female,Other driver error,1356,Auto,No,Material only,2910,1
10427195,75569674,59,Female,Other causes,3235,Auto,Unknown,Material and injury,24560,1
55538658,12476828,63,Male,Driver error,2048,Auto,No,Injury only,26780,1
08611701,01171764,45,Male,Other causes,4014,Auto,Yes,Material and injury,34450,1
84969150,74254928,50,Female,Other causes,1219,Auto,Unknown,Material and injury,34051.5,4
15764366,05107684,40,Male,Natural causes,2346,Home,No,Material only,2967,1
84469008,97423918,31,Male,Other causes,96,Auto,No,Material only,2875,1
03794840,15541351,25,Male,Natural causes,396,Auto,No,Material only,2200,1
21305400,92884551,39,Male,Other causes,2377,Auto,No,Material only,2840,1
49356365,63148586,33,Female,Other driver error,1890,Auto,Unknown,Material only,2484,1
87613266,00470587,71,Female,Natural causes,7360,Auto,No,Material only,2173.5,4
11723844,20675760,34,Female,Other causes,520,Auto,Yes,Injury only,38680,1
16485397,89606116,34,Male,Other driver error,781,Auto,No,Material only,2450,1
40592766,33219632,36,Male,Natural causes,2321,Auto,No,Material only,1730,1
53606236,05490285,53,Male,Driver error,5119,Auto,No,Injury only,14990,1
63674121,54432457,66,Male,Driver error,4733,Auto,No,Material only,1900,3
92880325,56404861,38,Female,Other driver error,635,Auto,No,Material only,1150,4
09076039,67648180,40,Female,Crime,512,Auto,Yes,Material only,2850,1
55511468,03780764,76,Female,Driver error,9968,Auto,No,Material only,2950,1
03843202,55436104,24,Female,Other causes,173,Auto,No,Material only,1130,1
36680208,25556773,21,Female,Natural causes,8,Auto,No,Material only,1541,2
64685276,04248401,45,Female,Crime,2952,Auto,No,Material only,2130,1
10345065,03815836,19,Female,Other causes,5,Auto,Unknown,Material and injury,30600,1
99293517,71510146,18,Female,Natural causes,6,Auto,No,Material only,2960,1
37229737,15746364,18,Female,Driver error,5,Auto,No,Material only,2691,1
21410294,08443611,49,Female,Other driver error,3260,Auto,Unknown,Injury only,18490,1
70934170,79118524,52,Female,Other causes,5283,Auto,No,Injury only,30690,1
71733594,19105619,48,Female,Natural causes,2704,Auto,Yes,Material only,1370,1
54181957,16003388,77,Male,Other driver error,1557,Auto,No,Material and injury,42860.5,1
27561525,41478568,30,Female,Other causes,1624,Auto,No,Material only,1790,1
73817255,35009712,76,Female,Other driver error,8812,Auto,No,Material only,1300,1
63875965,10865298,54,Female,Other causes,5785,Auto,Unknown,Material and injury,16767,1
29934494,34179503,26,Male,Other causes,1732,Auto,No,Material only,1500,2
76214705,17887662,35,Female,Natural causes,2790,Home,No,Material only,2860,3
13829031,46114728,43,Male,Crime,3671,Home,No,Material only,2970,1
98755539,19994427,54,Male,Natural causes,2454,Auto,Yes,Material and injury,33180,1
92954504,41662493,47,Female,Other causes,857,Auto,No,Material only,1490,1
43446276,84855637,46,Female,Driver error,6235,Auto,No,Material and injury,26220,1
95175251,34131745,34,Male,Other causes,1690,Auto,No,Material and injury,28200,3
64725516,25911713,23,Female,Other driver error,275,Auto,No,Material only,2480,1
35539692,26891570,34,Male,Driver error,688,Auto,No,Material only,1020,1
37767190,58298255,57,Female,Other causes,616,Auto,No,Material and injury,34090,4
11972929,27811476,22,Male,Driver error,2,Home,No,Material only,1932,1
83941251,45091805,25,Female,Other causes,4,Auto,Yes,Injury only,37352,1
17350408,64440598,36,Male,Other driver error,1378,Auto,No,Material only,1030,2
72153559,38431977,54,Female,Crime,1247,Auto,No,Injury only,14110,1
73281948,79239510,78,Female,Driver error,18532,Auto,No,Material only,1930,3
49883104,41471906,36,Female,Crime,1621,Auto,No,Injury only,38590,1
13316016,20184613,78,Male,Driver error,2424,Auto,Yes,Material and injury,41520,1
96547348,26560972,43,Male,Other driver error,2055,Auto,Unknown,Material and injury,38100,1
86780275,35876901,48,Male,Crime,3931,Auto,Yes,Injury only,24127,1
20775126,17673051,51,Male,Other causes,4126,Auto,Yes,Material only,2860,1
35493887,02054161,62,Male,Other driver error,300,Auto,Unknown,Material only,2900,1
77776277,19116315,62,Male,Natural causes,6383,Auto,No,Material only,1140,1
81956481,16538013,29,Female,Natural causes,190,Auto,No,Material only,1980,1
70417328,82644650,24,Male,Driver error,3,Auto,No,Injury only,38950.5,1
61100711,25867636,72,Female,Other causes,8000,Auto,Unknown,Injury only,36500,3
20108503,22558177,61,Female,Other driver error,9433,Auto,Unknown,Material only,2100,1
04909238,36099247,54,Male,Other driver error,1189,Auto,No,Material and injury,17370,1
05208813,53089588,62,Male,Driver error,3599,Auto,No,Material and injury,19470,1
86010595,48203850,23,Male,Other driver error,35,Auto,Yes,Material and injury,20890,1
37731871,64156678,70,Male,Driver error,8569,Auto,Yes,Material only,1790,1
81891685,86211790,77,Male,Driver error,5688,Auto,No,Material only,3162.5,1
88494493,97178562,54,Male,Other causes,6608,Auto,Unknown,Material and injury,17779,3
58855291,34060140,65,Male,Natural causes,810,Auto,Unknown,Material only,1472,1
66472334,66807643,76,Male,Other driver error,7784,Auto,Unknown,Material only,2540,1
34059166,19882233,35,Female,Natural causes,1422,Auto,No,Material only,1750,1
54577535,19003525,57,Female,Natural causes,3052,Auto,Yes,Material and injury,41730,1
63355032,53039586,57,Male,Other driver error,3392,Home,No,Material only,1730,1
05766862,08136965,18,Female,Other driver error,5,Auto,No,Material and injury,31190,1
55544034,09279760,25,Female,Other causes,673,Auto,Yes,Injury only,35330,1
87250677,42050019,55,Female,Driver error,1707,Auto,No,Material and injury,23333.5,1
93926136,06954068,65,Male,Other causes,2454,Auto,No,Material only,2200,1
67042564,78635550,54,Male,Driver error,6171,Auto,Unknown,Material and injury,34190,1
88951155,69176364,18,Female,Driver error,7,Auto,No,Material only,2886.5,1
68850165,07604596,42,Male,Other driver error,2475,Auto,No,Material only,1320,1
41831627,29557659,54,Male,Natural causes,7906,Auto,Yes,Injury only,36470,1
34763908,16217478,74,Male,Driver error,1088,Auto,No,Material and injury,38070,5
40709631,16656985,48,Female,Natural causes,1332,Auto,Unknown,Material only,2510,1
79387776,89697588,39,Male,Other driver error,1277,Auto,Yes,Material and injury,14230,1
48456469,60461126,60,Female,Other driver error,1186,Auto,Yes,Material and injury,35080,1
99016882,60737796,22,Female,Driver error,543,Auto,Unknown,Material only,1900,1
88264398,33025818,53,Male,Other causes,3504,Auto,Unknown,Injury only,38100,1
28560393,05394016,49,Male,Natural causes,2418,Auto,No,Material only,2650,1
07066159,36927012,52,Female,Other causes,1528,Auto,Unknown,Injury only,16420,1
44860716,85490162,64,Male,Other causes,7105,Auto,Unknown,Injury only,28820,1
32321767,93102434,18,Male,Other causes,3,Auto,No,Material only,3231.5,1
30806212,08561719,31,Female,Other driver error,609,Auto,Unknown,Material and injury,31060,3
36304713,74237502,23,Female,Crime,48,Auto,No,Material only,3001.5,1
37146049,35291249,59,Female,Other causes,1507,Auto,No,Material and injury,14660,1
93092382,63988035,20,Female,Natural causes,6,Auto,Yes,Injury only,31728.5,1
30605224,62388986,30,Female,Other driver error,837,Auto,Yes,Material and injury,40810,1
92163858,41976794,36,Female,Other driver error,989,Auto,No,Material only,2300,1
71704799,10719512,28,Male,Driver error,994,Home,Unknown,Material only,2800,1
06068166,73917857,37,Male,Other causes,2143,Auto,Unknown,Injury only,21740,2
16284982,51220742,18,Female,Driver error,2,Auto,Yes,Injury only,26185.5,1
79947442,67407967,30,Male,Other causes,2544,Auto,Unknown,Injury only,16880,1
01896618,58605378,74,Male,Other causes,5468,Auto,No,Material only,1040,2
05770333,76979302,46,Female,Natural causes,240,Auto,No,Injury only,21150,1
67471861,12186892,76,Male,Driver error,7449,Auto,No,Material only,3116.5,1
67708914,94366091,65,Female,Other driver error,8193,Auto,No,Material only,1010,1
75564476,50267021,66,Male,Other driver error,7251,Auto,No,Material only,2880,1
94546953,00179545,28,Male,Other causes,805,Auto,Unknown,Material and injury,41101,1
94086673,86485572,40,Female,Other driver error,4503,Auto,Unknown,Material only,1530,1
37716367,32122461,51,Male,Driver error,1706,Auto,No,Material only,2580,1
42019203,76289677,45,Male,Natural causes,1429,Home,No,Material only,1782.5,6
85447088,69648063,64,Female,Other causes,2800,Auto,Yes,Material and injury,21827,3
07940301,40730410,45,Female,Crime,5181,Auto,No,Injury only,32280.5,1
41456443,21099119,73,Female,Other causes,9600,Auto,Unknown,Material and injury,44436,4
60413227,37804807,25,Male,Driver error,583,Auto,No,Material and injury,35170,2
00263365,50096559,76,Male,Driver error,8347,Auto,No,Material only,1400,1
62041588,53522261,69,Female,Natural causes,2904,Auto,Unknown,Material only,2750,3
84010370,24476711,24,Female,Driver error,319,Auto,Unknown,Material only,1495,1
29062661,25696834,55,Male,Other causes,5136,Auto,No,Material only,1090,1
55839723,94349108,39,Male,Other causes,7,Auto,Yes,Material and injury,44091,2
09241691,57528537,45,Male,Natural causes,3321,Auto,No,Material only,2170,1
27356367,25078890,47,Male,Crime,3725,Auto,Unknown,Material and injury,38250,1
30840217,20154653,76,Female,Other causes,8944,Auto,Yes,Material and injury,47897.5,3
61131098,00764973,23,Female,Natural causes,29,Auto,No,Injury only,22149,1
61090307,90469538,60,Male,Driver error,6550,Auto,No,Material and injury,19193.5,1
25217169,03284614,18,Male,Driver error,3,Auto,No,Material only,2910,1
17970864,13518314,35,Female,Driver error,8,Auto,Unknown,Material only,1790,1
17599850,89572982,18,Male,Other causes,6,Auto,Unknown,Material only,2461,1
74150517,32851298,28,Male,Driver error,715,Auto,Unknown,Material only,1170,1
64239055,91867606,33,Male,Driver error,1884,Auto,No,Material only,2518.5,1
96995794,01134334,76,Male,Crime,4448,Home,No,Material only,1770,3
78303237,85116707,70,Male,Other driver error,2704,Auto,Unknown,Material only,1900,1
95589943,44289660,28,Male,Driver error,1243,Auto,Unknown,Injury only,38470,1
56959902,52170226,63,Male,Driver error,8329,Auto,Unknown,Material and injury,22250,1
64052934,40007391,47,Female,Other causes,4764,Auto,No,Material only,2420,1
77444235,42683276,69,Male,Driver error,2697,Auto,Unknown,Material and injury,42642,1
47372246,36423839,54,Female,Natural causes,6786,Auto,Yes,Material and injury,18170,4
50773309,89196199,46,Male,Other causes,7814,Auto,Yes,Injury only,34080,3
49832894,51084263,63,Female,Natural causes,3872,Home,Yes,Material and injury,33100,1
39701338,89826545,53,Female,Driver error,2968,Auto,No,Material only,2323,2
16742423,99193800,36,Male,Other causes,397,Auto,Unknown,Injury only,35972,1
42868609,15714019,59,Male,Other causes,2625,Home,No,Material only,1740,1
66814289,22550947,64,Female,Other driver error,4646,Auto,No,Material only,2340,3
31601037,03006881,78,Female,Natural causes,6583,Auto,Unknown,Material only,1190,1
76657892,03519965,30,Male,Other causes,696,Auto,Unknown,Material and injury,16540,1
23932050,33958241,44,Male,Other causes,1459,Auto,Unknown,Material only,2990,1
66018431,10013059,27,Male,Driver error,16,Auto,Unknown,Material and injury,40610,1
05889538,66196649,27,Male,Driver error,1192,Auto,Unknown,Material only,1710,1
56207978,50570913,46,Male,Driver error,887,Auto,No,Material only,2420,2
05112438,34473226,63,Female,Other causes,3638,Auto,No,Injury only,13670,1
73140860,19904870,73,Male,Driver error,4879,Auto,No,Material only,2500,3
72929108,65177029,33,Female,Driver error,2521,Auto,Yes,Material and injury,43527.5,3
81195391,94686467,43,Male,Other causes,2332,Auto,Yes,Material and injury,40770,1
88423441,49442439,34,Male,Other causes,950,Auto,Yes,Injury only,27335.5,1
95970512,98432595,25,Male,Driver error,847,Auto,No,Material only,2290,1
25617489,63601109,44,Female,Other driver error,5470,Auto,No,Material only,2320,1
08024994,34958295,53,Female,Other causes,8533,Auto,Unknown,Material only,1340,1
70792156,15986499,34,Female,Other causes,377,Auto,No,Material only,1943.5,3
63762676,69722524,43,Male,Other driver error,1861,Auto,No,Material only,2070,1
67216694,16653089,34,Male,Other causes,2130,Auto,No,Material only,1310,3
12776002,31738264,47,Male,Natural causes,1141,Auto,No,Material only,1345.5,1
62758935,53133240,56,Male,Driver error,5381,Auto,No,Material only,2650,1
59311690,54753665,22,Female,Driver error,5,Auto,Unknown,Injury only,15300,3
08298002,63594311,37,Male,Other driver error,2805,Auto,No,Material and injury,43366.5,1
80154089,82524863,75,Female,Other causes,7326,Auto,No,Material only,1207.5,7
15991674,76245260,72,Female,Other causes,5969,Auto,Unknown,Material and injury,19900,1
82256321,68346509,68,Male,Driver error,581,Auto,No,Material only,2450,1
15520727,74507757,73,Female,Natural causes,12831,Auto,Unknown,Material only,2060,2
40584930,93973045,68,Female,Natural causes,6839,Auto,Unknown,Material only,2020,2
45421446,58905772,43,Male,Other driver error,1502,Auto,Unknown,Injury only,24240,4
12759886,53640125,75,Female,Natural causes,10364,Auto,Unknown,Material only,1400,1
16659298,65839941,68,Male,Natural causes,1902,Home,No,Material only,2310,1
77349776,28495036,37,Male,Natural causes,1742,Auto,Unknown,Injury only,21190,1
42662572,91314778,22,Female,Other driver error,86,Auto,Unknown,Material only,3174,1
45604906,56752117,63,Male,Other causes,10410,Auto,Yes,Material and injury,32980,1
27926389,00333295,45,Male,Other driver error,2439,Auto,No,Material only,1000,1
93913403,54829126,18,Female,Driver error,5,Auto,No,Material and injury,24800,1
74882513,72789513,37,Male,Driver error,1316,Auto,Unknown,Injury only,29350,2
57179715,99477791,50,Male,Other causes,4436,Auto,Unknown,Material and injury,43723,1
52944445,12060749,79,Female,Natural causes,8209,Auto,Unknown,Material only,2270,1
12562756,17135569,20,Male,Driver error,5,Auto,No,Material only,2668,1
43851085,32537939,37,Female,Other driver error,1554,Auto,No,Material only,2270,1
39971403,69878269,50,Male,Other driver error,6394,Auto,Yes,Material and injury,30440,2
16893927,26023851,23,Male,Driver error,508,Auto,Unknown,Material and injury,16320,1
23594412,35459715,46,Female,Other causes,3423,Auto,No,Material only,3300.5,3
14309401,16130066,75,Female,Other causes,9544,Home,No,Material and injury,37410,1
94432639,90410317,24,Male,Crime,386,Auto,No,Material only,2461,3
85627549,36886230,78,Female,Driver error,3422,Auto,No,Material only,1470,1
40141971,15804272,59,Female,Other driver error,3082,Auto,Unknown,Material only,2630,1
22893907,65238369,60,Male,Other causes,5540,Auto,Unknown,Material only,1400,1
63988938,88394234,26,Male,Driver error,202,Auto,No,Material only,2810,2
85226488,59547179,59,Female,Other causes,4636,Auto,No,Material only,1552.5,4
44923638,69021234,25,Male,Driver error,403,Auto,No,Injury only,34790,1
85136881,50087943,41,Male,Crime,3362,Auto,No,Material only,2173.5,1
52962580,14880167,52,Female,Natural causes,4367,Auto,Yes,Material and injury,26350,4
20331019,21202494,66,Male,Other driver error,8848,Auto,No,Material only,1650,1
80804451,90120289,19,Male,Other driver error,6,Home,No,Material only,2380.5,3
30582900,93637326,26,Female,Natural causes,314,Auto,Yes,Injury only,41296.5,3
18199048,99020332,19,Female,Driver error,4,Home,Yes,Material only,2360,1
31349814,73517054,25,Male,Other driver error,261,Auto,Unknown,Material and injury,31980,1
35464950,01769490,47,Male,Driver error,893,Auto,No,Material and injury,39750,1
45952452,25715140,67,Female,Other driver error,3099,Auto,No,Material only,1810,2
13646842,84915620,18,Female,Natural causes,5,Auto,No,Material only,1598.5,1
35597728,63667171,59,Female,Natural causes,8471,Auto,No,Material only,2920,1
19497745,58855523,50,Male,Natural causes,542,Auto,Unknown,Material only,2810,1
57181654,70862318,38,Male,Driver error,2603,Auto,Yes,Material and injury,38300,2
94478133,83094563,69,Male,Crime,7692,Auto,Unknown,Material only,1656,3
75008044,20362602,77,Female,Other causes,4477,Home,No,Material only,2162,1
56782245,97827663,74,Female,Driver error,10659,Auto,Unknown,Material only,2630,4
12300749,96223784,44,Male,Other causes,1273,Auto,Unknown,Material and injury,18837,1
18657412,05928516,48,Female,Natural causes,788,Auto,Yes,Material only,2650,1
56390124,04275024,70,Male,Driver error,9263,Auto,Unknown,Material only,3369.5,1
47809088,09067121,29,Female,Driver error,651,Auto,Unknown,Material only,2829,1
68941343,60125813,28,Female,Crime,533,Auto,No,Material only,2410,1
64673393,40516033,49,Female,Other driver error,2116,Auto,Yes,Material and injury,34510,1
63750904,71222401,42,Male,Driver error,1818,Auto,No,Material only,1690,3
71436417,81457416,33,Male,Driver error,1328,Auto,Unknown,Material only,1630,1
16393700,92874600,19,Female,Driver error,7,Auto,Yes,Injury only,24322.5,1
25948027,28101214,18,Male,Other causes,2,Auto,Unknown,Material only,1184.5,1
34569805,49869909,34,Male,Crime,959,Auto,No,Material only,1880,2
58462908,70348604,63,Female,Driver error,8,Auto,No,Material only,3036,1
45330583,76440220,31,Female,Crime,887,Auto,Unknown,Material only,1160,1
83127717,06037262,50,Male,Other causes,3663,Auto,Yes,Injury only,38020,2
94216560,38777365,66,Male,Other causes,6132,Auto,No,Material only,1230,1
09292322,67845956,42,Female,Other driver error,1748,Auto,No,Material only,3070.5,5
73893541,94438379,56,Female,Other causes,1488,Auto,No,Material only,1780,1
35191424,72340465,57,Female,Other driver error,4445,Auto,Unknown,Material only,2000,2
10776845,16455130,66,Female,Natural causes,3832,Auto,Yes,Injury only,32190,1
46016087,13043990,71,Female,Crime,7800,Auto,Unknown,Injury only,24290,1
60308432,18041536,21,Female,Other driver error,315,Auto,Unknown,Material only,3312,1
85785079,57295957,33,Male,Crime,1485,Auto,No,Material only,2760,1
23602626,90808870,18,Female,Other driver error,3,Home,Unknown,Material only,1800,1
79421460,86007887,36,Male,Crime,1069,Auto,No,Material only,2250,1
85070964,69566424,22,Female,Driver error,5,Auto,Yes,Material only,2770,1
42089852,80293529,33,Female,Natural causes,1778,Auto,No,Material only,1540,1
78237677,68149712,22,Female,Crime,5,Auto,Yes,Injury only,31303,1
28958293,66539277,70,Female,Crime,3280,Auto,No,Material only,2620,1
97400493,62229278,59,Female,Other driver error,1494,Home,Unknown,Material and injury,17400,1
21115748,52656470,55,Female,Other driver error,4929,Auto,No,Material only,2090,1
35441424,77365640,66,Male,Driver error,10075,Auto,No,Material only,1190,2
25316656,92973635,70,Male,Driver error,6444,Auto,No,Material only,2590,1
88188187,08530851,75,Female,Driver error,9478,Auto,No,Material only,1340,1
57412670,93930377,64,Female,Crime,6750,Auto,Yes,Injury only,17890,1
71818063,19015404,34,Male,Crime,541,Home,No,Material only,2290,1
06113940,84773637,42,Female,Other causes,2525,Auto,Unknown,Material only,1368.5,1
38140329,89725370,30,Female,Other causes,855,Auto,Unknown,Material only,1590,1
63634063,31378056,58,Female,Other driver error,6206,Auto,Unknown,Material only,1170,1
54588415,66391840,39,Male,Other causes,2079,Auto,Unknown,Material and injury,29390,1
27788165,40104904,23,Female,Natural causes,2,Auto,No,Material only,1552.5,1
23839522,99148976,39,Female,Natural causes,1585,Auto,No,Injury only,32570,1
92535732,73569532,36,Male,Other driver error,522,Auto,Unknown,Material and injury,34569,1
29565633,50570570,24,Female,Other causes,387,Auto,No,Material only,2323,1
27742473,32005020,47,Male,Crime,1525,Auto,Unknown,Material only,3381,1
20745953,84987149,65,Female,Crime,2065,Auto,Unknown,Material only,1870,1
56305012,62144278,76,Female,Other driver error,6467,Auto,No,Injury only,31940,1
10916321,35211693,79,Male,Driver error,3284,Auto,Unknown,Material and injury,27790,1
23531036,50360858,66,Female,Other driver error,4472,Auto,No,Material only,2200,1
26953992,53285705,42,Female,Other causes,4561,Auto,Unknown,Material and injury,39663.5,1
94165282,25079043,51,Male,Crime,3596,Auto,No,Material only,1890,1
18275197,82318995,55,Female,Other causes,3626,Auto,Yes,Injury only,33880,1
26035860,50446391,30,Male,Natural causes,383,Auto,No,Material only,1830,1
23307908,85534853,74,Female,Driver error,11173,Auto,No,Material and injury,18060,1
72197015,26711743,71,Male,Other driver error,1614,Auto,No,Material and injury,26040,1
38405687,00387452,29,Female,Other causes,1148,Auto,No,Material and injury,32234.5,1
46193107,73971937,77,Male,Crime,9408,Auto,No,Material only,1070,1
73129584,06732215,53,Female,Natural causes,3286,Auto,Unknown,Material only,2012.5,2
29472447,04248984,39,Male,Other driver error,93,Auto,No,Material and injury,32120,1
71730570,38636105,74,Female,Natural causes,4927,Home,Unknown,Material only,2334.5,3
